"IDN5";"NM5";"IDN4";"NM4";"IDN3";"NM3";"IDN2";"NM2";"POINT_X";"POINT_Y"
800473;"Badín";508454;"Badín";601;"Banská Bystrica";6;"Banskobystrickı";-422507.37;-1234865.35
800481;"Báhoò";507806;"Báhoò";107;"Pezinok";1;"Bratislavskı";-548069.36;-1265299.81
800490;"Bajany";522287;"Bajany";807;"Michalovce";8;"Košickı";-200344.81;-1256002.11
800503;"Bajè";501034;"Bajè";401;"Komárno";4;"Nitriansky";-492879.13;-1312450.29
800554;"Bajerov";524174;"Bajerov";707;"Prešov";7;"Prešovskı";-272208.42;-1213282.08
800562;"Bajerovce";524182;"Bajerovce";708;"Sabinov";7;"Prešovskı";-294451.72;-1183506.14
800571;"Bajka";502049;"Bajka";402;"Levice";4;"Nitriansky";-470152.22;-1289239.92
800589;"Bajtava";503037;"Bajtava";404;"Nové Zámky";4;"Nitriansky";-455148.13;-1324014.61
800597;"Baka";501450;"Baka";201;"Dunajská Streda";2;"Trnavskı";-545830.48;-1311756.9
800601;"Bakta";514462;"Rimavská Sobota";609;"Rimavská Sobota";6;"Banskobystrickı";-350583.79;-1271247.77
800619;"Baláe";508471;"Baláe";601;"Banská Bystrica";6;"Banskobystrickı";-413616.86;-1218465.79
800627;"Baldovce";526371;"Baldovce";704;"Levoèa";7;"Prešovskı";-301118.69;-1207592.53
800635;"Balog nad Ip¾om";515868;"Balog nad Ip¾om";610;"Ve¾kı Krtíš";6;"Banskobystrickı";-424574.57;-1301012.85
800643;"Baloò";501468;"Baloò";201;"Dunajská Streda";2;"Trnavskı";-536373.92;-1318117.68
800651;"Baòa";527114;"Baòa";711;"Stropkov";7;"Prešovskı";-234757.88;-1185571.15
800678;"Banka";581399;"Banka";204;"Piešany";2;"Trnavskı";-513644.71;-1238227.62
800694;"Banky";513962;"Diviaky nad Nitricou";307;"Prievidza";3;"Trenèiansky";-464520.6;-1219065.61
800708;"Banky";516643;"Banská Štiavnica";602;"Banská Štiavnica";6;"Banskobystrickı";-441052.89;-1254306.51
800724;"Bánov";503045;"Bánov";404;"Nové Zámky";4;"Nitriansky";-494340.82;-1300015.77
800732;"Malá Kesa";503045;"Bánov";404;"Nové Zámky";4;"Nitriansky";-494213.24;-1298419.11
800759;"Bánová";517402;"ilina";511;"ilina";5;"ilinskı";-446128.48;-1175343.69
800805;"Bánovce nad Bebravou";542652;"Bánovce nad Bebravou";301;"Bánovce nad Bebravou";3;"Trenèiansky";-482353.32;-1224773.51
801011;"Bánovce nad Ondavou";522295;"Bánovce nad Ondavou";807;"Michalovce";8;"Košickı";-222215.01;-1246424.32
801038;"Banská Belá";516627;"Banská Belá";602;"Banská Štiavnica";6;"Banskobystrickı";-433518.12;-1255438.23
801062;"Banská Bystrica";508438;"Banská Bystrica";601;"Banská Bystrica";6;"Banskobystrickı";-417112.91;-1228717.93
801101;"Sásová";508438;"Banská Bystrica";601;"Banská Bystrica";6;"Banskobystrickı";-416544.12;-1225667.04
801241;"Radvaò";508438;"Banská Bystrica";601;"Banská Bystrica";6;"Banskobystrickı";-419017.68;-1230486.87
801283;"Podlavice";508438;"Banská Bystrica";601;"Banská Bystrica";6;"Banskobystrickı";-420503.22;-1226217.91
