"GEONAME_H";"CAT";"C_ROZH";"ROK_ST";"D_ROZH";"GN_ID"
"K Myöpotoku";"Pole";"GK-2327/1993";2007;"09.11.1993";{A595C278-3DE0-4ED3-A1AD-336E11045045}
"Pod Janov˝m";"Les";"P-261/1984";2007;"28.09.1984";{371BEF9C-632C-C36C-E053-3DC4A8C0CC62}
"ProstrednÈ pole pod unÌnskou cestou";"Pole";"P-4/1989";2007;"11.01.1989";{A1067EDB-C152-4394-94B1-533D9A9BC93D}
"Na jamy";"Pole";"GK-2073/1994";2007;"07.09.1994";{9E831EB1-349B-45CB-9F32-4710D62C2BD3}
"Horn· äamoÔ";"Vinica";"P-261/1984";2007;"28.09.1984";{3706FFC0-9405-D4CF-E053-3DC4A8C0F29D}
"Star· hora";"Les";"P-4/1989";2007;"11.01.1989";{A1BFFF83-0BB5-416E-81EA-6D4B9AA6C808}
"DrieÚok";"Les";"P-255/1992";2007;"16.06.1992";{30604F5E-E8FC-4BB9-8408-38C87B1CF568}
"Pod doln˝mi vinohradmi";"Pole";"P-190/1988";2007;"01.07.1988";{CDD375FD-46A3-4289-AF05-D4E18E8EED0F}
"Diely za cintorÌnom";"Pole";"P-4/1989";1999;"11.01.1989";{9A3C2B28-38CF-4377-9F06-59CE6CF822A9}
"»ierùaûeÚ";"Les";"P-365/1990";2007;"28.08.1990";{79B2E1C0-034C-4757-88E5-49FAE10C848F}
"Pod doln˝mi vinohradmi";"Pole";"P-190/1988";2007;"01.07.1988";{8EC61716-0077-4B2D-AA58-A3004836BA83}
"DrieÚok";"Les";"P-255/1992";2007;"16.06.1992";{82A5A106-A68D-4B48-870D-93D43D340046}
"Meûino";"Vrch";"P-164/1976";2007;"23.06.1976";{76AF7ACB-C0F8-430E-9BB8-1023BEA8360F}
"ätipkov·";"Les";"GK-1049/1994";2007;"18.04.1994";{8FB2B23E-3F36-4704-A32F-94E373468493}
"Farebn˝ potok";"Vodn˝ tok";"P-164/1976";1987;"23.06.1976";{B5F2DA1E-857F-4255-9FB9-ACB1851B529B}
"Humerov·";"Les";"P-108/1978";1991;"30.03.1978";{C689CE40-9B0D-4149-9516-592E8BE5201A}
"Veæk˝ ºubÌn";"Les";"P-164/1976";1994;"23.06.1976";{BC7B97A7-DEF8-4A74-A365-1CA7C9FD46E8}
"Val˙öska dolina";"Pole";"P-4/1989";1999;"11.01.1989";{5003668B-84EB-46EE-B677-7BCC98D84AF2}
"Kriökovci";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1989;"09.09.1981";{96017557-6318-4D06-8246-9777CA537093}
"DlhÈ diely";"Pole";"P-108/1978";1988;"30.03.1978";{462580DB-6B37-4981-A7C5-12495D6D3AC1}
"V·penÌk";"Vrch";"P-378/1975";1987;"19.11.1975";{38387AB4-A384-0DAA-E053-3DC4A8C09D83}
"Putniarka";"Pole";"P-108/1978";1993;"30.03.1978";{144DB868-9FC4-4C77-AEEA-06A975F9B658}
"Nad Hrichov˝mi";"Pole";"P-4/1989";2013;"11.01.1989";{87E24C8B-7EBE-418F-838E-EA7B3C5F1940}
"dolina Bielych plies";"Dolina";"P-378/1975";2007;"19.11.1975";{749970B9-30D2-4BFC-AEEE-6BDB45C394F6}
"HornÈ padelky";"Pole";"P-4/1989";1999;"11.01.1989";{19A415A4-14F2-432C-99EA-2C7EA1D9B265}
"Dubn·";"Pole";"P-108/1978";1985;"30.03.1978";{84167D01-9FA3-43F0-B0FA-0BAF377A8628}
"Magdolna";"Kaplnka";"P-221/1981";2009;"09.09.1981";{33169872-F4D9-4833-BD40-1F569CB2F727}
"Hrad";"Pole";"P-108/1978";1979;"30.03.1978";{DFB73DD2-E8D3-4442-B9CD-9D16F323628C}
"Laudriky";"Pole";"P-261/1984";2007;"28.09.1984";{63AFEE6A-C0FB-4CE2-8B33-9DB915653D52}
"Rovn· pod äaönatou";"Pole";"P-395/1991";2007;"05.08.1991";{B4B6EA66-A7E0-4513-BD29-D88B5DD1652C}
"ämatlavÈ uhlisko";"Les";"P-108/1978";1989;"30.03.1978";{289F49B9-102B-4500-A628-0283C9471F05}
"Val˙öska dolina";"Pole";"P-4/1989";1999;"11.01.1989";{AFCFDD0C-689A-4DC3-B344-DD30683EBF3C}
"Za Zrubn˝mi dielmi";"Pole";"P-4/1989";1989;"11.01.1989";{3549D22C-67D6-4AC0-975B-2B8660CAA5FB}
"DubnÌk";"Vrch";"P-164/1976";1986;"23.06.1976";{167AACEF-A0D3-4C1E-9C56-EB6A235DA457}
"Prostredn· l˙ka";"Pole";"P-108/1978";1985;"30.03.1978";{E1F45D1D-8736-4346-9876-5ECA4FFE29AE}
"Mahulianka";"Kan·l, n·hon";"P-108/1978";2009;"30.03.1978";{3F18B3BE-F6BF-4F4F-B07A-D8054994AEBF}
"H·j";"Les";"P-108/1978";1989;"30.03.1978";{11E2614E-09A6-48E2-8C65-1D5FB7F91710}
"Gbelsk˝ kan·l";"Kan·l, n·hon";"P-108/1978";2009;"30.03.1978";{5BA94624-9A49-4D49-A83C-2F66DFDA091D}
"SvidniËanka";"Vodn˝ tok";"GK-1115/1993";2013;"09.06.1993";{6E559E21-411A-4EA7-8962-279584A27174}
"Paöovisk·";"Pole";"P-108/1978";2007;"30.03.1978";{794486F6-BA3E-455F-8B1A-D75B8D9F95A0}
"Kakvica";"Jazero, jazer·, pleso, ples·";"P-108/1978";1983;"30.03.1978";{BF42809E-4DC9-4C3D-BA16-CD548E7B0E31}
"NadkrÌûie";"Vrch";"P-108/1978";1991;"30.03.1978";{74472AC8-6A06-48AE-AE7B-930548F63659}
"Partiz·n";"Pole";"P-108/1978";1988;"30.03.1978";{295F5C9A-274A-46AC-B6F8-E56AC9E860DD}
"Kop·nka";"Vodn˝ tok";"P-108/1978";2007;"30.03.1978";{D771D4C9-347D-46B8-9502-151D510B8F76}
"Z·kostolskÈ";"Pole";"P-108/1978";1989;"30.03.1978";{D2D9D8B0-596D-4158-9A61-F2949F48A1FE}
"Na rybnÌËku";"Pole";"P-108/1978";1985;"30.03.1978";{3AF04454-A10B-434D-A755-0FA369563F0E}
"S˙æovsk˝ hrad";"Zr˙canina";"P-221/1981";1990;"09.09.1981";{4423239E-2DC5-4854-8A54-912FBCEE1A96}
"Pad˙chovo";"L˙ka, pasienok";"P-164/1976";1990;"23.06.1976";{8C58CE01-8AC0-43B3-9C8B-135CAB79E58E}
"Blatina";"Vodn˝ tok";"P-108/1978";2009;"30.03.1978";{2E9B2899-C536-422B-905D-72347BCCFA0E}
"ätutÌkov öt·l";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1986;"09.09.1981";{0FC42335-DB94-4F3A-8774-F87F0D2B3C20}
"Pri Zelienkovi";"Les";"P-108/1978";1999;"30.03.1978";{CBCB58E8-50E9-40C1-877C-52C870F14ABD}
"äimkova seË";"Les";"P-108/1978";1989;"30.03.1978";{2C4FEF22-C61D-4444-98E4-11783A9DAFFF}
"Pri velickom jazierku";"Les";"P-4/1989";1989;"11.01.1989";{21D95D9E-58D7-4EE9-B1DC-3D50AB06A02B}
"HrubÈ Okruhy";"Pole";"P-108/1978";2007;"30.03.1978";{1C4F0BD6-5445-433B-8880-8B612D84DAEF}
"Priepasn· dolina";"Dolina";"P-4/1989";2003;"11.01.1989";{E0D58D16-494E-4D4F-8743-FA767B3650C5}
"DlhÈ diely";"Pole";"P-108/1978";1989;"30.03.1978";{5F884A29-2F9D-4F94-AD7A-0B53F9783896}
"Narcie";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1991;"09.09.1981";{7055D270-4CD6-4478-9C7B-A1FCBD209BB8}
"Bien";"Vodn˝ tok";"P-164/1976";1993;"23.06.1976";{157E8DDF-3655-4277-A376-8F7F9D451020}
"Dolinky";"Vodn˝ tok";"P-108/1978";2005;"30.03.1978";{A9850514-9DF1-43D4-B36B-2589F2252747}
"Feneösk˝ potok";"Vodn˝ tok";"P-108/1978";1989;"30.03.1978";{10E0AF16-BD65-43BB-8BDA-ACBBCC354094}
"M·ria MagdalÈna";"Kaplnka";"P-221/1981";1999;"09.09.1981";{6BE36E32-2070-4ACA-A994-B2EFCF123F94}
"HomÙlka";"Vrch";"P-378/1975";1987;"19.11.1975";{EE54F76A-B7EB-47F1-91ED-DFBBE673F978}
